ath-miRf10684-npr	NONATHT003560
ath-miRf10685-npr	NONATHT000621
ath-miRf10685-npr	NONATHT001316
ath-miRf10685-npr	NONATHT001439
ath-miRf10685-npr	NONATHT001930
ath-miRf10685-npr	NONATHT001931
ath-miRf10685-npr	NONATHT002373
ath-miRf10685-npr	NONATHT002618
ath-miRf10685-npr	NONATHT002664
ath-miRf10685-npr	NONATHT002801
ath-miRf10685-npr	NONATHT003052
ath-miRf10685-npr	NONATHT003289
ath-miRf10685-npr	NONATHT003519
ath-miRf10685-npr	NONATHT003529
ath-miRf10685-npr	NONATHT003532
ath-miRf10685-npr	NONATHT003560
ath-miRf10687-npr	NONATHT001315
ath-miRf10689-npr	NONATHT001844
ath-miRf10692-npr	NONATHT000902
ath-miRf10695-npr	NONATHT003264
ath-miRf10696-npr	NONATHT001134
ath-miRf10699-npr	NONATHT001895
ath-miRf10699-npr	NONATHT002803
ath-miRf10703-npr	NONATHT003241
ath-miRf10703-npr	NONATHT003454
ath-miRf10706-npr	NONATHT002106
ath-miRf10709-npr	NONATHT000408
ath-miRf10711-npr	NONATHT003500
ath-miRf10724-npr	NONATHT000411
ath-miRf10724-npr	NONATHT001072
ath-miRf10724-npr	NONATHT001188
ath-miRf10724-npr	NONATHT002041
ath-miRf10724-npr	NONATHT002540
ath-miRf10724-npr	NONATHT002605
ath-miRf10724-npr	NONATHT002616
ath-miRf10724-npr	NONATHT002631
ath-miRf10724-npr	NONATHT002717
ath-miRf10724-npr	NONATHT002727
ath-miRf10724-npr	NONATHT003395
ath-miRf10724-npr	NONATHT003402
ath-miRf10724-npr	NONATHT003418
ath-miRf10724-npr	NONATHT003484
ath-miRf10726-npr	NONATHT000327
ath-miRf10726-npr	NONATHT000436
ath-miRf10726-npr	NONATHT000443
ath-miRf10726-npr	NONATHT001219
ath-miRf10726-npr	NONATHT001355
ath-miRf10736-npr	NONATHT000976
ath-miRf10736-npr	NONATHT001437
ath-miRf10736-npr	NONATHT003411
ath-miRf10739-npr	NONATHT002041
ath-miRf10739-npr	NONATHT002748
ath-miRf10739-npr	NONATHT003316
ath-miRf10744-npr	NONATHT001528
ath-miRf10745-npr	NONATHT003297
ath-miRf10747-npr	NONATHT000619
ath-miRf10769-npr	NONATHT001210
ath-miRf10769-npr	NONATHT002631
ath-miRf10769-npr	NONATHT002671
ath-miRf10769-npr	NONATHT002773
ath-miRf10769-npr	NONATHT003418
ath-miRf10781-npr	NONATHT000374
ath-miRf10781-npr	NONATHT000413
ath-miRf10781-npr	NONATHT000425
ath-miRf10781-npr	NONATHT000453
ath-miRf10781-npr	NONATHT001045
ath-miRf10781-npr	NONATHT001047
ath-miRf10781-npr	NONATHT002181
ath-miRf10781-npr	NONATHT002247
ath-miRf10781-npr	NONATHT002631
ath-miRf10781-npr	NONATHT002661
ath-miRf10781-npr	NONATHT003387
ath-miRf10781-npr	NONATHT003395
ath-miRf10781-npr	NONATHT003402
ath-miRf10781-npr	NONATHT003403
ath-miRf10781-npr	NONATHT003418
ath-miRf10781-npr	NONATHT003424
ath-miRf10781-npr	NONATHT003472
ath-miRf10781-npr	NONATHT003484
